"No.","Time","Source","Destination","Protocol","Length","Info"
"62","0.600992","172.28.0.10","172.28.0.20","TCP","78","[TCP Dup ACK 56#3] 5000  >  37376 [ACK] Seq=1 Ack=71058 Win=96256 Len=0 TSval=3899640130 TSecr=1939743243 SLE=72506 SRE=81194"
"63","0.600994","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=81194 Ack=1 Win=64512 Len=2896 TSval=1939743343 TSecr=3899640030"
"64","0.600998","172.28.0.10","172.28.0.20","TCP","78","[TCP Dup ACK 56#4] 5000  >  37376 [ACK] Seq=1 Ack=71058 Win=96256 Len=0 TSval=3899640130 TSecr=1939743243 SLE=72506 SRE=84090"
"65","0.600999","172.28.0.20","172.28.0.10","RSL","2962","DELETE INDication (CCCH) (SM) "
"66","0.601002","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=86986 Ack=1 Win=64512 Len=2896 TSval=1939743343 TSecr=3899640030"
"67","0.602120","172.28.0.10","172.28.0.20","TCP","78","[TCP Dup ACK 56#5] 5000  >  37376 [ACK] Seq=1 Ack=71058 Win=96256 Len=0 TSval=3899640131 TSecr=1939743243 SLE=72506 SRE=89882"
"68","0.701007","172.28.0.20","172.28.0.10","TCP","1514","[TCP Out-Of-Order] 37376  >  5000 [ACK] Seq=71058 Ack=1 Win=64512 Len=1448 TSval=1939743443 TSecr=3899640130"
"69","0.701066","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=89882 Win=82944 Len=0 TSval=3899640230 TSecr=1939743443"
"70","0.701117","172.28.0.20","172.28.0.10","TCP","1514","[TCP Previous segment not captured] 37376  >  5000 [ACK] Seq=91330 Ack=1 Win=64512 Len=1448 TSval=1939743443 TSecr=3899640130"
"71","0.701126","172.28.0.10","172.28.0.20","TCP","78","[TCP Dup ACK 69#1] 5000  >  37376 [ACK] Seq=1 Ack=89882 Win=82944 Len=0 TSval=3899640230 TSecr=1939743443 SLE=91330 SRE=92778"
"72","0.701128","172.28.0.20","172.28.0.10","RSL","2962","[Malformed Packet]"
"73","0.701134","172.28.0.10","172.28.0.20","TCP","78","[TCP Dup ACK 69#2] 5000  >  37376 [ACK] Seq=1 Ack=89882 Win=82944 Len=0 TSval=3899640230 TSecr=1939743443 SLE=91330 SRE=95674"
"74","0.702161","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=95674 Ack=1 Win=64512 Len=2896 TSval=1939743444 TSecr=3899640131"
"75","0.702186","172.28.0.10","172.28.0.20","TCP","78","[TCP Window Update] 5000  >  37376 [ACK] Seq=1 Ack=89882 Win=92160 Len=0 TSval=3899640231 TSecr=1939743443 SLE=91330 SRE=98570"
"76","0.702189","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=98570 Ack=1 Win=64512 Len=2896 TSval=1939743444 TSecr=3899640131"
"77","0.703304","172.28.0.10","172.28.0.20","TCP","78","[TCP Dup ACK 69#3] 5000  >  37376 [ACK] Seq=1 Ack=89882 Win=92160 Len=0 TSval=3899640232 TSecr=1939743443 SLE=91330 SRE=101466"
"78","0.801215","172.28.0.20","172.28.0.10","TCP","1514","37376  >  5000 [ACK] Seq=101466 Ack=1 Win=64512 Len=1448 TSval=1939743543 TSecr=3899640230"
"79","0.801237","172.28.0.20","172.28.0.10","TCP","1514","[TCP Out-Of-Order] 37376  >  5000 [ACK] Seq=89882 Ack=1 Win=64512 Len=1448 TSval=1939743543 TSecr=3899640230"
"80","0.801257","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=102914 Win=88064 Len=0 TSval=3899640330 TSecr=1939743543"
"81","0.802250","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=102914 Ack=1 Win=64512 Len=2896 TSval=1939743544 TSecr=3899640231"
"82","0.802271","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=105810 Win=96256 Len=0 TSval=3899640331 TSecr=1939743544"
"83","0.803349","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=105810 Ack=1 Win=64512 Len=2896 TSval=1939743545 TSecr=3899640232"
"84","0.803362","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=108706 Win=96256 Len=0 TSval=3899640332 TSecr=1939743545"
"85","0.901328","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=108706 Ack=1 Win=64512 Len=2896 TSval=1939743643 TSecr=3899640330"
"86","0.901365","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=111602 Win=96256 Len=0 TSval=3899640430 TSecr=1939743643"
"87","0.902296","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=111602 Ack=1 Win=64512 Len=2896 TSval=1939743644 TSecr=3899640331"
"88","0.902308","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=114498 Win=96256 Len=0 TSval=3899640431 TSecr=1939743644"
"89","0.903394","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=114498 Ack=1 Win=64512 Len=2896 TSval=1939743645 TSecr=3899640332"
"90","0.903401","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=117394 Win=96256 Len=0 TSval=3899640432 TSecr=1939743645"
"91","0.903403","172.28.0.20","172.28.0.10","TCP","1514","37376  >  5000 [ACK] Seq=117394 Ack=1 Win=64512 Len=1448 TSval=1939743645 TSecr=3899640332"
"92","0.943444","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=118842 Win=98304 Len=0 TSval=3899640473 TSecr=1939743645"
"93","1.002463","172.28.0.20","172.28.0.10","TCP","2962","[TCP Previous segment not captured] 37376  >  5000 [PSH, ACK] Seq=121738 Ack=1 Win=64512 Len=2896 TSval=1939743744 TSecr=3899640431"
"94","1.002498","172.28.0.10","172.28.0.20","TCP","78","[TCP Dup ACK 92#1] 5000  >  37376 [ACK] Seq=1 Ack=118842 Win=98304 Len=0 TSval=3899640532 TSecr=1939743645 SLE=121738 SRE=124634"
"95","1.003519","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=124634 Ack=1 Win=64512 Len=2896 TSval=1939743745 TSecr=3899640432"
"96","1.003554","172.28.0.10","172.28.0.20","TCP","78","[TCP Dup ACK 92#2] 5000  >  37376 [ACK] Seq=1 Ack=118842 Win=98304 Len=0 TSval=3899640533 TSecr=1939743645 SLE=121738 SRE=127530"
"97","1.043511","172.28.0.20","172.28.0.10","TCP","1514","37376  >  5000 [ACK] Seq=127530 Ack=1 Win=64512 Len=1448 TSval=1939743786 TSecr=3899640473"
"98","1.043546","172.28.0.10","172.28.0.20","TCP","78","[TCP Dup ACK 92#3] 5000  >  37376 [ACK] Seq=1 Ack=118842 Win=98304 Len=0 TSval=3899640573 TSecr=1939743645 SLE=121738 SRE=128978"
"99","1.102672","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=128978 Ack=1 Win=64512 Len=2896 TSval=1939743845 TSecr=3899640532"
"100","1.103697","172.28.0.20","172.28.0.10","TCP","1514","[TCP Out-Of-Order] 37376  >  5000 [ACK] Seq=118842 Ack=1 Win=64512 Len=1448 TSval=1939743846 TSecr=3899640533"
"101","1.103734","172.28.0.10","172.28.0.20","TCP","78","5000  >  37376 [ACK] Seq=1 Ack=120290 Win=97280 Len=0 TSval=3899640633 TSecr=1939743846 SLE=121738 SRE=131874"
"102","1.143729","172.28.0.20","172.28.0.10","TCP","1514","[TCP Out-Of-Order] 37376  >  5000 [ACK] Seq=120290 Ack=1 Win=64512 Len=1448 TSval=1939743886 TSecr=3899640573"
"103","1.143770","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=131874 Win=89088 Len=0 TSval=3899640673 TSecr=1939743886"
"104","1.203913","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=131874 Ack=1 Win=64512 Len=2896 TSval=1939743946 TSecr=3899640633"
"105","1.203953","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=134770 Win=96256 Len=0 TSval=3899640733 TSecr=1939743946"
"106","1.203957","172.28.0.20","172.28.0.10","RSL","1514","unknown 12 "
"107","1.243910","172.28.0.20","172.28.0.10","TCP","1514","37376  >  5000 [ACK] Seq=136218 Ack=1 Win=64512 Len=1448 TSval=1939743986 TSecr=3899640673"
"108","1.243948","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=137666 Win=97280 Len=0 TSval=3899640773 TSecr=1939743946"
"109","1.304107","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=137666 Ack=1 Win=64512 Len=2896 TSval=1939744046 TSecr=3899640733"
"110","1.304258","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=140562 Win=98304 Len=0 TSval=3899640833 TSecr=1939744046"
"111","1.344008","172.28.0.20","172.28.0.10","TCP","2962","37376  >  5000 [PSH, ACK] Seq=140562 Ack=1 Win=64512 Len=2896 TSval=1939744086 TSecr=3899640773"
"112","1.344035","172.28.0.20","172.28.0.10","TCP","1514","37376  >  5000 [ACK] Seq=143458 Ack=1 Win=64512 Len=1448 TSval=1939744086 TSecr=3899640773"
"113","1.344116","172.28.0.10","172.28.0.20","TCP","66","5000  >  37376 [ACK] Seq=1 Ack=144906 Win=98304 Len=0 TSval=3899640873 TSecr=1939744086"
"114","1.444202","172.28.0.20","172.28.0.10","TCP","2962","[TCP Previous segment not captured] 37376  >  5000 [PSH, ACK] Seq=150698 Ack=1 Win=64512 Len=2896 TSval=1939744186 TSecr=3899640873"
"115","1.444236","172.28.0.10","172.28.0.20","TCP","78","[TCP Dup ACK 113#1] 5000  >  37376 [ACK] Seq=1 Ack=144906 Win=98304 Len=0 TSval=3899640973 TSecr=1939744086 SLE=150698 SRE=153594"
"116","1.544409","172.28.0.20","172.28.0.10","TCP","2962","[TCP Retransmission] 37376  >  5000 [PSH, ACK] Seq=144906 Ack=1 Win=64512 Len=2896 TSval=1939744286 TSecr=3899640973"
